"","time","metric2","incidence_rate"
"1",2023,"Hepatitis C",12.5695
"2",2022,"Hepatitis C",12.2
"3",2021,"Hepatitis C",14.3832
"4",2020,"Hepatitis C",13.8239
"5",2019,"Hepatitis C",16.0153
"6",2018,"Hepatitis C",15.7926
"7",2017,"Hepatitis C",15.5107343633617
"8",2016,"Hepatitis C",15.0885872351626
"9",2015,"Hepatitis C",15.2588685019782
"10",2014,"Hepatitis C",14.96514898589
"11",2013,"Hepatitis C",15.0036188000355
"12",2012,"Hepatitis C",14.9643374474764
"13",2011,"Hepatitis C",12.9667166714148
"14",2010,"Hepatitis C",11.4658285251079
"15",2009,"Hepatitis C",9.92823904002066
"16",2008,"Hepatitis C",8.20758501161743
"17",2007,"Hepatitis C",7.02774123597807
"18",2006,"Hepatitis C",5.40556493507055
"19",2005,"Hepatitis C",4.071683937828
"20",2004,"Hepatitis C",3.02958734652429
"21",2023,"Hepatitis B",74.694
"22",2022,"Hepatitis B",63.21
"23",2021,"Hepatitis B",69.2473
"24",2020,"Hepatitis B",64.286
"25",2019,"Hepatitis B",71.7697
"26",2018,"Hepatitis B",71.9881
"27",2017,"Hepatitis B",72.6137439286385
"28",2016,"Hepatitis B",68.7393291023738
"29",2015,"Hepatitis B",68.5679150616678
"30",2014,"Hepatitis B",69.0469067834069
"31",2013,"Hepatitis B",71.1185784762636
"32",2012,"Hepatitis B",80.6832673935749
"33",2011,"Hepatitis B",81.5367924216742
"34",2010,"Hepatitis B",79.4598197114199
"35",2009,"Hepatitis B",88.824490661906
"36",2008,"Hepatitis B",88.5172066692399
"37",2007,"Hepatitis B",89.0047170112754
"38",2006,"Hepatitis B",84.8244116019128
"39",2005,"Hepatitis B",75.5683675394519
"40",2004,"Hepatitis B",70.5008154598886
"41",2023,"Japanese Encephalitis",0.0145
"42",2022,"Japanese Encephalitis",0.01
"43",2021,"Japanese Encephalitis",0.0147
"44",2020,"Japanese Encephalitis",0.0205
"45",2019,"Japanese Encephalitis",0.0297
"46",2018,"Japanese Encephalitis",0.1295
"47",2017,"Japanese Encephalitis",0.0831257029140601
"48",2016,"Japanese Encephalitis",0.0902403032891241
"49",2015,"Japanese Encephalitis",0.0457992849595443
"50",2014,"Japanese Encephalitis",0.0633131552782436
"51",2013,"Japanese Encephalitis",0.160851968922632
"52",2012,"Japanese Encephalitis",0.130849445595723
"53",2011,"Japanese Encephalitis",0.121186358879228
"54",2010,"Japanese Encephalitis",0.190374154838304
"55",2009,"Japanese Encephalitis",0.294649177192097
"56",2008,"Japanese Encephalitis",0.225158746376647
"57",2007,"Japanese Encephalitis",0.329408728829213
"58",2006,"Japanese Encephalitis",0.584523886175128
"59",2005,"Japanese Encephalitis",0.392113156443957
"60",2004,"Japanese Encephalitis",0.417115426039327
"61",2023,"Typhoid and Paratyphoid Fever",0.3931
"62",2022,"Typhoid and Paratyphoid Fever",0.41
"63",2021,"Typhoid and Paratyphoid Fever",0.5138
"64",2020,"Typhoid and Paratyphoid Fever",0.4994
"65",2019,"Typhoid and Paratyphoid Fever",0.664
"66",2018,"Typhoid and Paratyphoid Fever",0.7805
"67",2017,"Typhoid and Paratyphoid Fever",0.782048352350151
"68",2016,"Typhoid and Paratyphoid Fever",0.795092211437481
"69",2015,"Typhoid and Paratyphoid Fever",0.854112626721502
"70",2014,"Typhoid and Paratyphoid Fever",1.01596214670263
"71",2013,"Typhoid and Paratyphoid Fever",1.0439868836962
"72",2012,"Typhoid and Paratyphoid Fever",0.890488739794378
"73",2011,"Typhoid and Paratyphoid Fever",0.879850253573619
"74",2010,"Typhoid and Paratyphoid Fever",1.05196517437411
"75",2009,"Typhoid and Paratyphoid Fever",1.27543259986704
"76",2008,"Typhoid and Paratyphoid Fever",1.18376737884946
"77",2007,"Typhoid and Paratyphoid Fever",1.55407887125246
"78",2006,"Typhoid and Paratyphoid Fever",1.98736591732917
"79",2005,"Typhoid and Paratyphoid Fever",2.6691697225779
"80",2004,"Typhoid and Paratyphoid Fever",3.79511954949688
"81",2023,"Hemorrhagic Fever",0.3802
"82",2022,"Hemorrhagic Fever",0.37
"83",2021,"Hemorrhagic Fever",0.6517
"84",2020,"Hemorrhagic Fever",0.5784
"85",2019,"Hemorrhagic Fever",0.6871
"86",2018,"Hemorrhagic Fever",0.8614
"87",2017,"Hemorrhagic Fever",0.816182795307886
"88",2016,"Hemorrhagic Fever",0.645834603895405
